lob,application,action,id
seed,myaccount,top-ten-opportunity,seed:myaccount:top-ten-opportunity
seed,myaccount,shipping-status,seed:myaccount:shipping-status
seed,myaccount,progress-business,seed:myaccount:progress-business
seed,myaccount,business-plan,seed:myaccount:business-plan
seed,myaccount,license-farmers,seed:myaccount:license-farmers
seed,myaccount,bulksoybean,seed:myaccount:bulksoybean
seed,myaccount,order-long-short,seed:myaccount:order-long-short
seed,myaccount,locations-reporting-inventory,seed:myaccount:locations-reporting-inventory
seed,myaccount,products-scheduled-to-ship,seed:myaccount:products-scheduled-to-ship
seed,myaccount,products-remaining-to-be-shipped,seed:myaccount:products-remaining-to-be-shipped
seed,myaccount,inventory-long-short-products,seed:myaccount:inventory-long-short-products
seed,myaccount,offer-summary,seed:myaccount:offer-summary
seed,myaccount,dad-incoming-shipments,seed:myaccount:dad-incoming-shipments
seed,myaccount,dad-year-end-sales-summary,seed:myaccount:dad-year-end-sales-summary
seed,myaccount,dad-current-year-prior-year-by-crop,seed:myaccount:dad-current-year-prior-year-by-crop
seed,myaccount,dad-top-5-products,seed:myaccount:dad-top-5-products
seed,myaccount,dad-trait-mix-summary-view,seed:myaccount:dad-trait-mix-summary-view
seed,myaccount,dad-monthly-shipment-trend,seed:myaccount:dad-monthly-shipment-trend
seed,myaccount,dad-year-to-year-trends,seed:myaccount:dad-year-to-year-trends
seed,myaccount,dad-3-monthly-shipment-trends,seed:myaccount:dad-3-monthly-shipment-trends
cp,myaccount,cp-distributor-top-ten-opportunity,cp:myaccount:cp-distributor-top-ten-opportunity
cp,myaccount,cp-top-ten-opportunity,cp:myaccount:cp-top-ten-opportunity
cp,myaccount,cp-incoming-shipments,cp:myaccount:cp-incoming-shipments
cp,myaccount,cp-distributor-year-end-sales-summary,cp:myaccount:cp-distributor-year-end-sales-summary
cp,myaccount,cp-retailer-year-end-sales-summary,cp:myaccount:cp-retailer-year-end-sales-summary
cp,myaccount,cp-monthly-shipment-trends,cp:myaccount:cp-monthly-shipment-trends
cp,myaccount,cp-year-over-year-performance,cp:myaccount:cp-year-over-year-performance
cp,myaccount,cp-year-to-year-trends,cp:myaccount:cp-year-to-year-trends
cp,myaccount,cp-3-monthly-shipment-trends,cp:myaccount:cp-3-monthly-shipment-trends
acceleron,myaccount,acc-top-ten-opportunity,acceleron:myaccount:acc-top-ten-opportunity
acceleron,myaccount,acc-incoming-shipments,acceleron:myaccount:acc-incoming-shipments
acceleron,myaccount,acc-year-end-sales-summary,acceleron:myaccount:acc-year-end-sales-summary
acceleron,myaccount,acc-monthly-shipment-trends,acceleron:myaccount:acc-monthly-shipment-trends
acceleron,myaccount,acc-year-over-year-performance,acceleron:myaccount:acc-year-over-year-performance
acceleron,myaccount,acc-year-to-year-trends,acceleron:myaccount:acc-year-to-year-trends
acceleron,myaccount,acc-3-monthly-shipment-trends,acceleron:myaccount:acc-3-monthly-shipment-trends
bioag,myaccount,bioag-distributor-top-ten-opportunity,bioag:myaccount:bioag-distributor-top-ten-opportunity
bioag,myaccount,bioag-top-ten-opportunity,bioag:myaccount:bioag-top-ten-opportunity
bioag,myaccount,bioag-incoming-shipments,bioag:myaccount:bioag-incoming-shipments
bioag,myaccount,bioag-distributor-year-end-sales-summary,bioag:myaccount:bioag-distributor-year-end-sales-summary
bioag,myaccount,bioag-retailer-year-end-sales-summary,bioag:myaccount:bioag-retailer-year-end-sales-summary
bioag,myaccount,bioag-monthly-shipment-trends,bioag:myaccount:bioag-monthly-shipment-trends
bioag,myaccount,bioag-year-over-year-performance,bioag:myaccount:bioag-year-over-year-performance
bioag,myaccount,bioag-year-to-year-trends,bioag:myaccount:bioag-year-to-year-trends
bioag,myaccount,bioag-3-monthly-shipment-trends,bioag:myaccount:bioag-3-monthly-shipment-trends
seed,myaccount,confirmed-unconfirmed,seed:myaccount:confirmed-unconfirmed
seed,myaccount,offer-management,seed:myaccount:offer-management
seed,myaccount,order-details-card,seed:myaccount:order-details-card
seed,myaccount,inventory-certification,seed:myaccount:inventory-certification
seed,myaccount,field-checkup,seed:myaccount:field-checkup
seed,myaccount,ccr-report-farmer,seed:myaccount:ccr-report-farmer
seed,myaccount,farmer-deliveries,seed:myaccount:farmer-deliveries
seed,myaccount,incoming-shipments-and-receipts,seed:myaccount:incoming-shipments-and-receipts
seed,myaccount,net-sales-by-package,seed:myaccount:net-sales-by-package
seed,myaccount,farmer-sales-summary-by-crop,seed:myaccount:farmer-sales-summary-by-crop
seed,myaccount,chs-year-over-year-trends,seed:myaccount:chs-year-over-year-trends
seed,myaccount,chs-monthly-shipment-trends,seed:myaccount:chs-monthly-shipment-trends
seed,myaccount,chs-top-3-products,seed:myaccount:chs-top-3-products
